Grade,Strand,Anchor Standard,Code,Benchmark
5,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",5.1.1.2,"Know and apply grade-level phonics and word analysis skills in decoding words: Use knowledge of letter-sound correspondences, syllabication patterns and word origin (French and Latin) to decode and comprehend unfamiliar multi-syllabic words in and out of context."
5,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",5.1.1.3,"Read grade-level texts fluently with sufficient accuracy, rate and expression to support comprehension."
5,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",5.1.2.1,"Read independently and monitor understanding of grade-level text; self-correct as needed, independently using strategies including, but not limited to, making inferences and connecting text to background knowledge."
5,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",5.1.2.2,"At grade 5 text complexity, select and proficiently read and comprehend texts that address academic tasks."
5,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",5.1.2.3,"Locate, select and read texts representing various perspectives and identities like and unlike their own, using various methods of searching for text (e.g., literary award lists, curated book lists, book reviews)."
5,Reading,R3 Read and comprehend independently both self-selected and teacher-directed complex literary and informational texts representing perspectives of historical and contemporary Dakota and Anishinaabe people.,5.1.3.1,"Choose and read texts that address the purpose (e.g., personal interest, enjoyment, academic tasks), representing perspectives and identities of historical and contemporary Dakota and Anishinaabe people."
5,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",5.1.4.1,Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text; summarize the text.
5,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",5.1.4.2,Determine a theme or central idea of a text and how it is developed or conveyed through specific details.
5,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",5.1.4.3,"Describe how and when characters, setting, conflict, resolution, events or ideas are introduced and how they change or evolve in literary text."
5,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",5.1.4.4,"Explain the relationships or interactions between individuals, events and concepts, based on specific details, in informational text."
5,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,5.1.5.1,"Explain how a series of chapters, scenes or stanzas fit together to provide the overall structure of a literary text."
5,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,5.1.5.2,"Identify the effects of the various informational text structures (including, but not limited to, sequence, chronology and description) on a text or part of a text."
5,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,5.1.5.3,"Interpret, apply and evaluate the ideas/information conveyed through illustrations, graphics and other audiovisual elements to support understanding in text."
5,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",5.1.6.1,"Compare and contrast a firsthand and secondhand account, including those by Dakota and Anishinaabe authors, of the same event or topic; describe the differences in focus and the information provided."
5,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",5.1.6.2,"Compare texts published in different time periods related to influences on meaning, content or style of the texts."
5,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",5.1.6.3,"Analyze a text’s placement on a continuum of fact to fiction, citing evidence."
5,Reading,R7 Evaluate arguments and specific claims from complex informational texts.,5.1.7.1,Identify an author’s argument and how perspective and bias influence choices regarding evidence.
5,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",5.1.8.1,"Demonstrate understanding of word relationships and nuances (e.g., connotative and denotative) in word meanings in stories, poems or songs."
5,Reading,"R8 Examine the impact of vocabulary, including words and phrases, on content, style and meaning of complex literary and informational texts.",5.1.8.2,"Interpret words and phrases in academic, technical and domain-specific vocabulary."
5,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",5.1.9.1,"Collect information from a variety of sources in different formats, representing diverse perspectives (e.g., interviews, videos, podcasts)."
5,Reading,"R9 Media Literacy in Reading: Access and gather information from a variety of sources, representing diverse perspectives, and assessing relevancy and credibility of information.",5.1.9.2,Evaluate sources based on validity and credibility of information related to task and purpose.
5,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",5.2.1.1,"Use correct punctuation (including semi-colons and colons), spelling, capitalization and grammar authentically in writing."
5,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",5.2.1.2,Apply spelling patterns and rules to spell words with French and Latin word origin authentically in writing.
5,Writing,"W1 Foundations of Writing: Demonstrate knowledge of oral language, orthography, grammar and mechanics to express ideas in writing.",5.2.1.3,"Use nouns, verbs, adjectives, adverbs (including relative adverbs) and pronouns (including relative pronouns) in sentences authentically in writing, building on skills from previous years."
5,Writing,"W2 Write routinely for various purposes and disciplines, representing one’s own personal perspective, identity and voice.",5.2.2.1,"Write routinely for a range of tasks, purposes and audiences (e.g., personal interest, enjoyment, academic tasks)."
5,Writing,"W2 Write routinely for various purposes and disciplines, representing one’s own personal perspective, identity and voice.",5.2.2.2,Write to reflect how personal identity has developed over time.
5,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",5.2.3.1,"Plan and draft multiple pieces; self-select pieces to revise (e.g., rewriting or trying a new approach), edit and publish."
5,Writing,"W3 Develop and strengthen writing by using a writing process including planning, drafting, revising, editing and publishing.",5.2.3.2,"Use words, phrases, punctuation and sentences to convey ideas precisely, appropriate to intended audience and context."
5,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",5.2.4.1,"Write to argue, situating argument in an explanation of a broad topic, building on skills from previous years."
5,Writing,"W4 Write arguments to support claims and to persuade in an analysis of topics or texts, using valid reasoning and evidence while considering audience.",5.2.4.2,"Write to persuade, employing emotional strategies (e.g., manipulation, motivation, inspiration), building on skills from previous years."
5,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",5.2.5.1,"Write to inform or explain, using precise, domain-specific vocabulary, developing subtopics, and grouping related information logically in chosen text structure, including using formatting (e.g., headings) and visuals when useful to aid comprehension, building on skills from previous years."
5,Writing,"W5 Write informative or explanatory texts to examine and convey complex ideas and information clearly and accurately through use of informational and literary text, considering audience.",5.2.5.2,"Write to respond to the style, tone and plot of a literary text (e.g., writing personal reactions, analysis, and interpretation of text)."
5,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",5.2.6.1,"Write to create, using basic literary techniques including figurative language, hyperbole and personification to impact style, tone and plot in various literary forms (e.g., poetry, stories, plays)."
5,Writing,"W6 Write narratives, poetry and other creative texts with details and effective technique to express ideas.",5.2.6.2,"Use structure appropriate to chosen style and tone in written narratives, poetry or other creative text (e.g., chapters, stanzas, scenes)."
5,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,5.2.7.1,Formulate questions independently and in collaboration with peers to guide inquiry.
5,Writing,W7 Engage in inquiry-based learning and research processes to create texts and presentations for a variety of purposes and audiences.,5.2.7.2,"Plan and conduct independent research using sources to build and share knowledge of a topic, and share findings in writing."
5,Writing,"W8 Media Literacy in Writing: Support writing with evidence from sources, correctly citing those sources, and demonstrating an understanding of the rights and obligations of using intellectual property.",5.2.8.1,"Use and cite sources in various formats, both quoting and summarizing, avoiding plagiarism and demonstrating understanding of intellectual property concepts (e.g., copyright, fair use, creative commons)."
5,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",5.3.1.1,"Exchange ideas in storytelling, discussion and collaboration, intentionally including and considering voices and perspectives of Dakota and Anishinaabe people and other perspectives.
a.       Help create and follow agreed-upon norms for a discussion (e.g., speaker norms, listener norms, participation norms) respectful of culture.
b.       Participate as a speaker and listener, drawing conclusions based on information and understanding gained from listening to others.
c.       Express one’s own ideas, stories and experiences, linking to comments of others.
d.       Negotiate and compromise to support productive exchange of ideas.
e.       Identify and work toward a shared goal."
5,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",5.3.1.2,"Ask and respond to questions by making comments that demonstrate preparation for the discussion, contribute to the discussion and elaborate on the comments of others."
5,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 1 Exchange ideas in discussion and collaboration, as listener, speaker and participant, A) including the voices and perspectives of Dakota and Anishinaabe people as well other perspectives, identities and cultures like and unlike their own, and B) expressing one’s own ideas, stories and experiences.",5.3.1.3,"Seek feedback from others, ask clarifying questions for understanding, and make decisions and adjustments."
5,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 2 Communicate with others, applying knowledge of vocabulary, language, structure and features of spoken language, considering audience and context.",5.3.2.1,"Use vocabulary, language, structure and features of spoken language to communicate ideas precisely, recognizing situational differences."
5,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",5.3.3.1,"Report on a topic in an organized manner, including relevant and credible facts and descriptive details to support central ideas or themes, in a variety of presentation styles, demonstrating understanding of ethical and safe communication practices."
5,"Listening, Speaking, Viewing and Exchanging Ideas","LSVEI 3 Media Literacy in Exchanging Ideas: Thoughtfully and safely access, analyze, and create written, oral and digital content applicable to task, purpose, audience and discipline.",5.3.3.2,"Create and share work, using self-selected digital tools, and articulate how chosen tools meet the task, purpose and audience, demonstrating understanding of digital footprint. *"
6,Reading,"R1 Foundations of Reading: Demonstrate knowledge of oral language, phonological and phonemic awareness, phonics and morphology to read accurately and fluently.",6.1.1.2,"Know and apply grade-level phonics and word analysis skills in decoding words: Use knowledge of letter-sound correspondences, syllabication patterns and word origin (Greek) to decode and comprehend unfamiliar multi-syllabic words in and out of context."
6,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",6.1.2.1,"Read independently and self-monitor understanding of grade-level text; annotate learning (i.e., underline, highlight, and take notes), with guidance and support, independently applying strategies when meaning breaks down, including, but not limited to, connecting to prior knowledge, using context clues, reading ahead and looking back."
6,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",6.1.2.2,"At grade 6 text complexity, select and proficiently read and comprehend texts that address academic tasks."
6,Reading,"R2 Read and comprehend independently A) both self- selected and teacher-directed texts, B) complex literary and informational texts, and C) from multiple sources representing perspectives and identities like and unlike their own from dominant, non-dominant and marginalized social groups.",6.1.2.3,"Locate, select and read texts representing various perspectives and identities from dominant, non-dominant and marginalized social groups, using various methods of searching for text (e.g., literary award lists, curated book lists, book reviews)."
6,Reading,R3 Read and comprehend independently both self-selected and teacher-directed complex literary and informational texts representing perspectives of historical and contemporary Dakota and Anishinaabe people.,6.1.3.1,"Choose and read texts that address the purpose (e.g., personal interest, enjoyment, academic tasks), representing perspectives and identities of historical and contemporary Dakota and Anishinaabe people."
6,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",6.1.4.1,Cite textual evidence to support analysis of what a text says explicitly and inferences drawn from the text; summarize the text.
6,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",6.1.4.2,Distinguish between stated and inferred central ideas; determine the themes and central ideas and support determination with evidence and inferences drawn from the text.
6,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",6.1.4.3,Analyze how a particular text’s plot unfolds in episodes and how the characters respond in relation to the plot advancement in literary text.
6,Reading,"R4 Read critically to comprehend, interpret and analyze themes and central ideas in complex literary and informational texts.",6.1.4.4,"Analyze how a key individual, event or concept is introduced, illustrated and elaborated in informational text."
6,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,6.1.5.1,"Analyze how a given sentence, chapter, scene or stanza fits into the overall structure, including narrative point of view, of a literature text and contributes to the development of the theme, setting or plot."
6,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,6.1.5.2,"Analyze how a given sentence, paragraph or section fits into the overall structure of an informational text (including, but not limited to, description, classification, cause/effect and comparison/contrast) and contributes to the development of ideas."
6,Reading,R5 Apply knowledge of text structure to understand and evaluate a wide variety of complex literary and informational texts.,6.1.5.3,"Interpret, apply and evaluate the ideas/information conveyed through illustrations, graphics and other audiovisual elements to support understanding and compare and contrast illustrations, graphics and other audiovisual elements in a wide variety of texts."
6,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",6.1.6.1,"Analyze multiple accounts by various cultures, including Dakota and Anishinaabe, of the same event or topic, noting important similarities and differences in the point of view they represent."
6,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",6.1.6.2,"Examine similar texts published in different time periods, comparing and contrasting influence on meaning, content or style of the texts."
6,Reading,"R6 Analyze influences on content, meaning and style of text including fact and fiction, time period, and author perspective and identity, including Dakota and Anishinaabe perspective, in complex literary and informational texts.",6.1.6.3,"Trace and evaluate the specific central theme or argument in a text, distinguishing claims that are supported by facts and evidence from claims that are not."
6,Reading,R7 Evaluate arguments and specific claims from complex informational texts.,6.1.7.1,Distinguish between relevant and irrelevant evidence to evaluate an author’s argument.
